Station Code,Station Name,ICS Code,Postcode
"ZGC","ZGH","Gallions Reach","940GZZDLGAL","E66FS"
"ZGE","GPK","Green Park","940GZZLUGPK","W1V9HG"
"ZGG","GGR","Golders Green","940GZZLUGGN","NW117RN"
"ZGP","GPS","Great Portland Street","940GZZLUGPS","NW14LH"
"ZGR","GRD","Gloucester Road","940GZZLUGTR","SW74SF"
"ZGS","GST","Goodge Street","940GZZLUGDG","W1P9PA"
"ZGW","ZGR","Goldhawk Road","940GZZLUGHK","W128EG"
"ZHA","HMD","Hammersmith (District and Piccadilly)","940GZZLUHSC","W67DP"
"ZHB","HBT","High Barnet","940GZZLUHBT","EN55RP"
"ZHC","HNC","Hounslow Central","940GZZLUHWC","TW31JG"
"ZHD","HDN","Hillingdon","940GZZLUHGD","UB109NR"
"ZHE","HNE","Hounslow East","940GZZLUHWE","TW34AB"
"ZHG","HIG","Highgate","940GZZLUHGT","N65FJ"
"ZHL","HLN","Hanger Lane","940GZZLUHGR","W51DL"
"ZHM","HMP","Hampstead","940GZZLUHTD","NW31QG"
"ZHN","HND","Hendon Central","940GZZLUHCL","NW43AS"
"ZHO","HOL","Holborn","940GZZLUHBN","WC2B6AA"
"ZHP","HPK","Holland Park","940GZZLUHPK","W113RB"
"ZHQ","ZHQ","Heron Quays","940GZZDLHEQ","E144JH"
"ZHR","HRD","Holloway Road","940GZZLUHWY","N78HS"
"ZHT","HAI","Hainault","940GZZLUHLT","IG63BD"
"ZHU","HCH","Hornchurch","940GZZLUHCH","RM126LS"
"ZHW","HNW","Hounslow West","940GZZLUHWT","TW33DH"
"ZHY","HPC","Hyde Park Corner","940GZZLUHPC","SW1X7LY"
"ZHZ","HMS","Hammersmith","940GZZLUHSD","W67SY"
"ZIC","ICK","Ickenham","940GZZLUICK","UB108PD"
"ZIG","ZIG","Island Gardens","940GZZDLISL","E143GR"
"ZIQ","ZWI","West India Quay","940GZZDLCAN","E144EG"
"ZKE","KEN","Kennington","940GZZLUKNG","SE114QJ"
"ZKI","KIL","Kilburn","910GBRBY","NW67QL"
"ZKN","KNB","Knightsbridge","940GZZLUKNB","SW1X7LJ"
"ZKP","KPK","Kilburn Park","910GKLBRNHR","NW65AD"
"ZKY","KBY","Kingsbury","940GZZLUKBY","NW99EG"
"ZLA","LAN","Lancaster Gate","940GZZLULGT","W23PF"
"ZLC","LSQ","Leicester Square","940GZZLULSQ","WC2H0AP"
"ZLE","LYS","Leytonstone","940GZZLULYS","E111HE"
